two_category,question,option_a,option_b,option_c,option_d,correct_text,explanation
Data Modeling & DBMS Fundamentals,"What is a primary key in a database?","A unique identifier for each record","A foreign key reference","An index on a table","A constraint on data types","A unique identifier for each record","A primary key uniquely identifies each record in a table and cannot contain null values."
Data Modeling & DBMS Fundamentals,"What is the purpose of a foreign key?","To create indexes","To establish relationships between tables","To store metadata","To optimize queries","To establish relationships between tables","A foreign key creates a relationship between two tables by referencing the primary key of another table."
Data Modeling & DBMS Fundamentals,"What is an entity in database design?","A table column","A real-world object or concept","A database constraint","A query result","A real-world object or concept","An entity represents a real-world object or concept that can be distinctly identified and has attributes."
Data Modeling & DBMS Fundamentals,"What is an attribute in database design?","A table name","A property or characteristic of an entity","A database relationship","A query statement","A property or characteristic of an entity","An attribute describes a property or characteristic of an entity and becomes a column in a table."
Data Modeling & DBMS Fundamentals,"What is a relationship in database design?","A table constraint","An association between entities","A data type","A query operation","An association between entities","A relationship represents how entities are connected or associated with each other in the real world."
Data Modeling & DBMS Fundamentals,"What is cardinality in database relationships?","The number of tables","The number of attributes","The number of entities that can be associated","The number of queries","The number of entities that can be associated","Cardinality specifies how many instances of one entity can be associated with instances of another entity."
Data Modeling & DBMS Fundamentals,"What is a one-to-one relationship?","One entity relates to many entities","One entity relates to exactly one other entity","Many entities relate to one entity","No entities relate to each other","One entity relates to exactly one other entity","A one-to-one relationship means each instance of one entity is associated with exactly one instance of another entity."
Data Modeling & DBMS Fundamentals,"What is a one-to-many relationship?","One entity relates to many entities","One entity relates to exactly one other entity","Many entities relate to one entity","No entities relate to each other","One entity relates to many entities","A one-to-many relationship means one instance of an entity can be associated with multiple instances of another entity."
Data Modeling & DBMS Fundamentals,"What is a many-to-many relationship?","One entity relates to many entities","One entity relates to exactly one other entity","Many entities relate to many entities","No entities relate to each other","Many entities relate to many entities","A many-to-many relationship means multiple instances of one entity can be associated with multiple instances of another entity."
Data Modeling & DBMS Fundamentals,"What is a composite key?","A single primary key","A key made up of multiple attributes","A foreign key","A unique constraint","A key made up of multiple attributes","A composite key is a primary key that consists of two or more attributes to uniquely identify a record."
Data Modeling & DBMS Fundamentals,"What is a candidate key?","A foreign key","A key that could serve as a primary key","A unique constraint","An index key","A key that could serve as a primary key","A candidate key is an attribute or set of attributes that could uniquely identify a record and could be chosen as the primary key."
Data Modeling & DBMS Fundamentals,"What is a surrogate key?","A natural key","An artificial key created by the system","A foreign key","A composite key","An artificial key created by the system","A surrogate key is an artificial key (like an auto-incrementing ID) created by the database system to uniquely identify records."
Data Modeling & DBMS Fundamentals,"What is referential integrity?","Data accuracy","Consistency of relationships between tables","Query performance","Index optimization","Consistency of relationships between tables","Referential integrity ensures that relationships between tables remain consistent and that foreign key values reference existing primary key values."
Data Modeling & DBMS Fundamentals,"What is a weak entity?","An entity with no attributes","An entity that depends on another entity for identification","An entity with no relationships","An entity with no primary key","An entity that depends on another entity for identification","A weak entity is an entity that cannot be uniquely identified by its own attributes and depends on another entity for its identification."
Data Modeling & DBMS Fundamentals,"What is an ER diagram?","A query diagram","A visual representation of database structure","A data flow diagram","A network diagram","A visual representation of database structure","An Entity-Relationship diagram is a visual representation that shows entities, attributes, and relationships in a database design."
Normalization & Dependencies,"What is normalization in database design?","Adding more columns to tables","The process of organizing data to reduce redundancy","Creating backup copies","Optimizing query performance","The process of organizing data to reduce redundancy","Normalization is the process of organizing data in a database to eliminate redundancy and dependency issues."
Normalization & Dependencies,"What is First Normal Form (1NF)?","Tables with composite keys","Tables where each cell contains only atomic values","Tables with no foreign keys","Tables with only one column","Tables where each cell contains only atomic values","1NF requires that each cell in a table contains only atomic (indivisible) values."
Normalization & Dependencies,"What is Second Normal Form (2NF)?","Tables in 1NF with no partial dependencies","Tables with no foreign keys","Tables with only one column","Tables with no composite keys","Tables in 1NF with no partial dependencies","2NF requires that tables are in 1NF and have no partial dependencies on the primary key."
Normalization & Dependencies,"What is Third Normal Form (3NF)?","Tables in 2NF with no transitive dependencies","Tables with no foreign keys","Tables with only one column","Tables with no composite keys","Tables in 2NF with no transitive dependencies","3NF requires that tables are in 2NF and have no transitive dependencies on the primary key."
Normalization & Dependencies,"What is a functional dependency?","A relationship between tables","A relationship where one attribute determines another","A foreign key constraint","A unique constraint","A relationship where one attribute determines another","A functional dependency exists when one attribute (or set of attributes) determines another attribute."
Normalization & Dependencies,"What is a partial dependency?","A dependency on the entire primary key","A dependency on only part of a composite primary key","A dependency on a foreign key","A dependency on a unique key","A dependency on only part of a composite primary key","A partial dependency occurs when a non-key attribute depends on only part of a composite primary key."
Normalization & Dependencies,"What is a transitive dependency?","A dependency on the primary key","A dependency on a non-key attribute","A dependency on a foreign key","A dependency on a unique key","A dependency on a non-key attribute","A transitive dependency occurs when a non-key attribute depends on another non-key attribute rather than directly on the primary key."
Normalization & Dependencies,"What is Boyce-Codd Normal Form (BCNF)?","A stronger version of 3NF","A weaker version of 2NF","A different form of 1NF","A form with no foreign keys","A stronger version of 3NF","BCNF is a stronger version of 3NF where every determinant is a candidate key."
Normalization & Dependencies,"What is a determinant?","A primary key","An attribute that determines another attribute","A foreign key","A unique constraint","An attribute that determines another attribute","A determinant is an attribute (or set of attributes) that determines the value of another attribute."
Normalization & Dependencies,"What is denormalization?","The process of normalizing data","The process of adding redundancy to improve performance","The process of removing foreign keys","The process of adding more tables","The process of adding redundancy to improve performance","Denormalization is the intentional introduction of redundancy to improve query performance, often at the cost of storage space."
Normalization & Dependencies,"What is a multivalued dependency?","A dependency on multiple attributes","A dependency where one attribute determines multiple values","A dependency on a foreign key","A dependency on a unique key","A dependency where one attribute determines multiple values","A multivalued dependency exists when one attribute determines a set of values for another attribute."
Normalization & Dependencies,"What is Fourth Normal Form (4NF)?","Tables in 3NF with no multivalued dependencies","Tables with no foreign keys","Tables with only one column","Tables with no composite keys","Tables in 3NF with no multivalued dependencies","4NF requires that tables are in 3NF and have no multivalued dependencies."
Normalization & Dependencies,"What is Fifth Normal Form (5NF)?","Tables in 4NF with no join dependencies","Tables with no foreign keys","Tables with only one column","Tables with no composite keys","Tables in 4NF with no join dependencies","5NF requires that tables are in 4NF and have no join dependencies."
Normalization & Dependencies,"What is a superkey?","A primary key","A set of attributes that can uniquely identify a record","A foreign key","A unique constraint","A set of attributes that can uniquely identify a record","A superkey is any set of attributes that can uniquely identify a record in a table."
Normalization & Dependencies,"What is a minimal superkey?","A superkey with the fewest attributes","A superkey with the most attributes","A primary key","A foreign key","A superkey with the fewest attributes","A minimal superkey is a superkey from which no attribute can be removed while still maintaining uniqueness."
